Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,500,5844.43
Unsynchronized,2,1000,500,5593.88
Unsynchronized,2,1000,500,6677.41
Unsynchronized,2,1000,500,5792.38
Unsynchronized,2,1000,500,6395.42,mismatch
Unsynchronized,2,1000,500,6443.06
Unsynchronized,2,1000,500,7565.23,mismatch
Unsynchronized,2,1000,500,5039.14,mismatch
Unsynchronized,2,1000,500,5650.90
Unsynchronized,2,1000,500,6003.73
Unsynchronized,2,100000,500,633.470,mismatch
Unsynchronized,2,100000,500,432.254,mismatch
Unsynchronized,2,100000,500,418.141,mismatch
Unsynchronized,2,100000,500,425.547,mismatch
Unsynchronized,2,100000,500,626.091,mismatch
Unsynchronized,2,100000,500,402.923,mismatch
Unsynchronized,2,100000,500,430.932,mismatch
Unsynchronized,2,100000,500,691.826,mismatch
Unsynchronized,2,100000,500,659.728,mismatch
Unsynchronized,2,100000,500,650.212,mismatch
Unsynchronized,2,10000000,500,59.6929,mismatch
Unsynchronized,2,10000000,500,135.866,mismatch
Unsynchronized,2,10000000,500,146.157,mismatch
Unsynchronized,2,10000000,500,84.5715,mismatch
Unsynchronized,2,10000000,500,80.5956,mismatch
Unsynchronized,2,10000000,500,126.355,mismatch
Unsynchronized,2,10000000,500,130.286,mismatch
Unsynchronized,2,10000000,500,140.180,mismatch
Unsynchronized,2,10000000,500,98.3358,mismatch
Unsynchronized,2,10000000,500,133.574,mismatch
Unsynchronized,4,1000,500,15970.4
Unsynchronized,4,1000,500,11827.9,mismatch
Unsynchronized,4,1000,500,11581.2,mismatch
Unsynchronized,4,1000,500,12415.5
Unsynchronized,4,1000,500,13206.0,mismatch
Unsynchronized,4,1000,500,13265.1
Unsynchronized,4,1000,500,12089.7,mismatch
Unsynchronized,4,1000,500,11429.2
Unsynchronized,4,1000,500,11984.4
Unsynchronized,4,1000,500,12816.0,mismatch
Unsynchronized,4,100000,500,951.651,mismatch
Unsynchronized,4,100000,500,832.715,mismatch
Unsynchronized,4,100000,500,823.736,mismatch
Unsynchronized,4,100000,500,827.776,mismatch
Unsynchronized,4,100000,500,879.517,mismatch
Unsynchronized,4,100000,500,847.401,mismatch
Unsynchronized,4,100000,500,881.875,mismatch
Unsynchronized,4,100000,500,828.265,mismatch
Unsynchronized,4,100000,500,904.913,mismatch
Unsynchronized,4,100000,500,822.435,mismatch
Unsynchronized,4,10000000,500,274.525,mismatch
Unsynchronized,4,10000000,500,273.821,mismatch
Unsynchronized,4,10000000,500,287.840,mismatch
Unsynchronized,4,10000000,500,286.276,mismatch
Unsynchronized,4,10000000,500,276.467,mismatch
Unsynchronized,4,10000000,500,267.726,mismatch
Unsynchronized,4,10000000,500,265.371,mismatch
Unsynchronized,4,10000000,500,241.201,mismatch
Unsynchronized,4,10000000,500,272.276,mismatch
Unsynchronized,4,10000000,500,275.431,mismatch
Unsynchronized,8,1000,500,25556.9
Unsynchronized,8,1000,500,24982.5,mismatch
Unsynchronized,8,1000,500,33193.8
Unsynchronized,8,1000,500,27505.1,mismatch
Unsynchronized,8,1000,500,23887.4
Unsynchronized,8,1000,500,27248.3,mismatch
Unsynchronized,8,1000,500,27787.1,mismatch
Unsynchronized,8,1000,500,23739.2
Unsynchronized,8,1000,500,25406.1
Unsynchronized,8,1000,500,31485.4
Unsynchronized,8,100000,500,1546.46,mismatch
Unsynchronized,8,100000,500,1958.71,mismatch
Unsynchronized,8,100000,500,1532.92,mismatch
Unsynchronized,8,100000,500,1459.14,mismatch
Unsynchronized,8,100000,500,1624.28,mismatch
Unsynchronized,8,100000,500,1635.28,mismatch
Unsynchronized,8,100000,500,1531.38,mismatch
Unsynchronized,8,100000,500,1655.52,mismatch
Unsynchronized,8,100000,500,1631.82,mismatch
Unsynchronized,8,100000,500,1634.17,mismatch
Unsynchronized,8,10000000,500,523.440,mismatch
Unsynchronized,8,10000000,500,523.414,mismatch
Unsynchronized,8,10000000,500,542.719,mismatch
Unsynchronized,8,10000000,500,533.702,mismatch
Unsynchronized,8,10000000,500,540.285,mismatch
Unsynchronized,8,10000000,500,529.672,mismatch
Unsynchronized,8,10000000,500,506.728,mismatch
Unsynchronized,8,10000000,500,514.671,mismatch
Unsynchronized,8,10000000,500,523.519,mismatch
Unsynchronized,8,10000000,500,535.961,mismatch
Unsynchronized,12,1000,500,47448.5,mismatch
Unsynchronized,12,1000,500,45819.7,mismatch
Unsynchronized,12,1000,500,49171.8
Unsynchronized,12,1000,500,40761.0,mismatch
Unsynchronized,12,1000,500,43206.2,mismatch
Unsynchronized,12,1000,500,50542.7
