Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,500,6390.86,mismatch
Unsynchronized,2,1000,500,6499.20
Unsynchronized,2,1000,500,7299.23,mismatch
Unsynchronized,2,1000,500,5947.98,mismatch
Unsynchronized,2,1000,500,7490.63
Unsynchronized,2,1000,500,5786.50
Unsynchronized,2,1000,500,5312.85
Unsynchronized,2,1000,500,6660.71
Unsynchronized,2,1000,500,6000.72
Unsynchronized,2,1000,500,5289.19
Unsynchronized,2,100000,500,441.545,mismatch
Unsynchronized,2,100000,500,700.784,mismatch
Unsynchronized,2,100000,500,666.179,mismatch
Unsynchronized,2,100000,500,444.406,mismatch
Unsynchronized,2,100000,500,457.190,mismatch
Unsynchronized,2,100000,500,684.165,mismatch
Unsynchronized,2,100000,500,439.188,mismatch
Unsynchronized,2,100000,500,450.285,mismatch
Unsynchronized,2,100000,500,704.309,mismatch
Unsynchronized,2,100000,500,709.697,mismatch
Unsynchronized,2,10000000,500,60.0231,mismatch
Unsynchronized,2,10000000,500,85.4506,mismatch
Unsynchronized,2,10000000,500,77.2278,mismatch
Unsynchronized,2,10000000,500,78.2334,mismatch
Unsynchronized,2,10000000,500,81.8940,mismatch
Unsynchronized,2,10000000,500,78.2289,mismatch
Unsynchronized,2,10000000,500,90.5126,mismatch
Unsynchronized,2,10000000,500,93.4438,mismatch
Unsynchronized,2,10000000,500,81.3410,mismatch
Unsynchronized,2,10000000,500,102.506,mismatch
Unsynchronized,4,1000,500,11312.0
Unsynchronized,4,1000,500,11294.0,mismatch
Unsynchronized,4,1000,500,12833.9
Unsynchronized,4,1000,500,10717.7
Unsynchronized,4,1000,500,11518.8
Unsynchronized,4,1000,500,11735.0
Unsynchronized,4,1000,500,12845.8
Unsynchronized,4,1000,500,11402.7
Unsynchronized,4,1000,500,13931.3,mismatch
Unsynchronized,4,1000,500,14456.0
Unsynchronized,4,100000,500,981.750,mismatch
Unsynchronized,4,100000,500,869.731,mismatch
Unsynchronized,4,100000,500,958.670,mismatch
Unsynchronized,4,100000,500,882.093,mismatch
Unsynchronized,4,100000,500,813.001,mismatch
Unsynchronized,4,100000,500,841.332,mismatch
Unsynchronized,4,100000,500,885.932,mismatch
Unsynchronized,4,100000,500,825.553,mismatch
Unsynchronized,4,100000,500,863.941,mismatch
Unsynchronized,4,100000,500,938.544,mismatch
Unsynchronized,4,10000000,500,265.102
Unsynchronized,4,10000000,500,266.590,mismatch
Unsynchronized,4,10000000,500,268.337,mismatch
Unsynchronized,4,10000000,500,248.802,mismatch
Unsynchronized,4,10000000,500,246.624,mismatch
Unsynchronized,4,10000000,500,280.562,mismatch
Unsynchronized,4,10000000,500,276.124,mismatch
Unsynchronized,4,10000000,500,264.452,mismatch
Unsynchronized,4,10000000,500,267.645,mismatch
Unsynchronized,4,10000000,500,248.397,mismatch
Unsynchronized,8,1000,500,27970.0,mismatch
Unsynchronized,8,1000,500,25962.7,mismatch
Unsynchronized,8,1000,500,29179.7,mismatch
Unsynchronized,8,1000,500,23438.2,mismatch
Unsynchronized,8,1000,500,26004.7
Unsynchronized,8,1000,500,27088.8
Unsynchronized,8,1000,500,26899.6,mismatch
Unsynchronized,8,1000,500,22481.8
Unsynchronized,8,1000,500,25646.1
Unsynchronized,8,1000,500,23762.4,mismatch
Unsynchronized,8,100000,500,1702.15,mismatch
Unsynchronized,8,100000,500,1638.83,mismatch
Unsynchronized,8,100000,500,1749.44,mismatch
Unsynchronized,8,100000,500,1582.72,mismatch
Unsynchronized,8,100000,500,1634.75,mismatch
Unsynchronized,8,100000,500,1598.08,mismatch
Unsynchronized,8,100000,500,1556.66,mismatch
Unsynchronized,8,100000,500,1638.60,mismatch
Unsynchronized,8,100000,500,1517.16,mismatch
Unsynchronized,8,100000,500,1945.25,mismatch
Unsynchronized,8,10000000,500,541.443,mismatch
Unsynchronized,8,10000000,500,526.451,mismatch
Unsynchronized,8,10000000,500,531.463,mismatch
Unsynchronized,8,10000000,500,539.839,mismatch
Unsynchronized,8,10000000,500,533.908,mismatch
Unsynchronized,8,10000000,500,525.873,mismatch
Unsynchronized,8,10000000,500,538.562,mismatch
Unsynchronized,8,10000000,500,521.537,mismatch
Unsynchronized,8,10000000,500,515.610,mismatch
Unsynchronized,8,10000000,500,534.336,mismatch
Unsynchronized,12,1000,500,37315.4
Unsynchronized,12,1000,500,38754.1,mismatch
