Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,500,6696.20
Unsynchronized,2,1000,500,5943.65
Unsynchronized,2,1000,500,5321.18
Unsynchronized,2,1000,500,7331.73
Unsynchronized,2,1000,500,5599.01
Unsynchronized,2,1000,500,5036.73
Unsynchronized,2,1000,500,7110.34,mismatch
Unsynchronized,2,1000,500,5359.95
Unsynchronized,2,1000,500,5477.62
Unsynchronized,2,1000,500,6440.13
Unsynchronized,2,100000,500,686.435,mismatch
Unsynchronized,2,100000,500,426.119,mismatch
Unsynchronized,2,100000,500,655.864,mismatch
Unsynchronized,2,100000,500,570.444,mismatch
Unsynchronized,2,100000,500,722.124,mismatch
Unsynchronized,2,100000,500,347.600,mismatch
Unsynchronized,2,100000,500,647.302,mismatch
Unsynchronized,2,100000,500,417.719,mismatch
Unsynchronized,2,100000,500,423.159,mismatch
Unsynchronized,2,100000,500,638.841,mismatch
Unsynchronized,2,10000000,500,137.156,mismatch
Unsynchronized,2,10000000,500,62.5872,mismatch
Unsynchronized,2,10000000,500,139.460,mismatch
Unsynchronized,2,10000000,500,60.4330,mismatch
Unsynchronized,2,10000000,500,133.003,mismatch
Unsynchronized,2,10000000,500,61.2252,mismatch
Unsynchronized,2,10000000,500,141.343,mismatch
Unsynchronized,2,10000000,500,119.552,mismatch
Unsynchronized,2,10000000,500,60.1650,mismatch
Unsynchronized,2,10000000,500,142.619,mismatch
Unsynchronized,4,1000,500,11820.6,mismatch
Unsynchronized,4,1000,500,11576.8
Unsynchronized,4,1000,500,11163.1
Unsynchronized,4,1000,500,10982.6,mismatch
Unsynchronized,4,1000,500,12521.4
Unsynchronized,4,1000,500,11541.0
Unsynchronized,4,1000,500,11621.3,mismatch
Unsynchronized,4,1000,500,12229.4
Unsynchronized,4,1000,500,14314.1,mismatch
Unsynchronized,4,1000,500,11773.9
Unsynchronized,4,100000,500,844.196,mismatch
Unsynchronized,4,100000,500,590.545,mismatch
Unsynchronized,4,100000,500,908.257,mismatch
Unsynchronized,4,100000,500,924.247,mismatch
Unsynchronized,4,100000,500,861.787,mismatch
Unsynchronized,4,100000,500,595.120,mismatch
Unsynchronized,4,100000,500,949.590,mismatch
Unsynchronized,4,100000,500,915.543,mismatch
Unsynchronized,4,100000,500,838.306,mismatch
Unsynchronized,4,100000,500,932.241,mismatch
Unsynchronized,4,10000000,500,234.741,mismatch
Unsynchronized,4,10000000,500,244.583,mismatch
Unsynchronized,4,10000000,500,278.092,mismatch
Unsynchronized,4,10000000,500,235.999,mismatch
Unsynchronized,4,10000000,500,115.858,mismatch
Unsynchronized,4,10000000,500,113.938,mismatch
Unsynchronized,4,10000000,500,278.037,mismatch
Unsynchronized,4,10000000,500,281.752,mismatch
Unsynchronized,4,10000000,500,280.149,mismatch
Unsynchronized,4,10000000,500,115.451,mismatch
Unsynchronized,8,1000,500,21722.0,mismatch
Unsynchronized,8,1000,500,22147.9
Unsynchronized,8,1000,500,23283.7,mismatch
Unsynchronized,8,1000,500,27691.8,mismatch
Unsynchronized,8,1000,500,24491.9,mismatch
Unsynchronized,8,1000,500,28309.4,mismatch
Unsynchronized,8,1000,500,22908.1,mismatch
Unsynchronized,8,1000,500,22508.4
Unsynchronized,8,1000,500,22993.4,mismatch
Unsynchronized,8,1000,500,31344.0
Unsynchronized,8,100000,500,1723.64,mismatch
Unsynchronized,8,100000,500,1699.67,mismatch
Unsynchronized,8,100000,500,1636.23,mismatch
Unsynchronized,8,100000,500,1786.47,mismatch
Unsynchronized,8,100000,500,1664.88,mismatch
Unsynchronized,8,100000,500,1688.30,mismatch
Unsynchronized,8,100000,500,1550.91,mismatch
Unsynchronized,8,100000,500,1554.37,mismatch
Unsynchronized,8,100000,500,1623.22,mismatch
Unsynchronized,8,100000,500,1708.82,mismatch
Unsynchronized,8,10000000,500,514.447,mismatch
Unsynchronized,8,10000000,500,519.278,mismatch
Unsynchronized,8,10000000,500,498.234,mismatch
Unsynchronized,8,10000000,500,550.477,mismatch
Unsynchronized,8,10000000,500,487.098,mismatch
Unsynchronized,8,10000000,500,464.103,mismatch
Unsynchronized,8,10000000,500,524.572,mismatch
Unsynchronized,8,10000000,500,494.576,mismatch
Unsynchronized,8,10000000,500,544.217,mismatch
Unsynchronized,8,10000000,500,525.101,mismatch
Unsynchronized,12,1000,500,44424.9
Unsynchronized,12,1000,500,40512.2
Unsynchronized,12,1000,500,38793.0
Unsynchronized,12,1000,500,37970.7,mismatch
Unsynchronized,12,1000,500,45555.4
Unsynchronized,12,1000,500,44034.6
Unsynchronized,12,1000,500,42017.9
Unsynchronized,12,1000,500,40289.9,mismatch
Unsynchronized,12,1000,500,44683.8,mismatch
Unsynchronized,12,1000,500,42882.4
Unsynchronized,12,100000,500,2423.24,mismatch
Unsynchronized,12,100000,500,2414.00,mismatch
Unsynchronized,12,100000,500,2423.05,mismatch
Unsynchronized,12,100000,500,2474.87,mismatch
Unsynchronized,12,100000,500,2287.83,mismatch
Unsynchronized,12,100000,500,2583.28,mismatch
Unsynchronized,12,100000,500,2397.01,mismatch
Unsynchronized,12,100000,500,2534.39,mismatch
Unsynchronized,12,100000,500,2401.95,mismatch
Unsynchronized,12,100000,500,2275.32,mismatch
