Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,500,5417.05
Unsynchronized,2,1000,500,6425.82,mismatch
Unsynchronized,2,1000,500,5955.72
Unsynchronized,2,1000,500,5682.11
Unsynchronized,2,1000,500,5459.61
Unsynchronized,2,1000,500,5788.51
Unsynchronized,2,1000,500,6552.42
Unsynchronized,2,1000,500,6643.47,mismatch
Unsynchronized,2,1000,500,6145.57,mismatch
Unsynchronized,2,1000,500,6108.89,mismatch
Unsynchronized,2,100000,500,453.889,mismatch
Unsynchronized,2,100000,500,406.830,mismatch
Unsynchronized,2,100000,500,630.999,mismatch
Unsynchronized,2,100000,500,662.603,mismatch
Unsynchronized,2,100000,500,636.110,mismatch
Unsynchronized,2,100000,500,455.995,mismatch
Unsynchronized,2,100000,500,660.501,mismatch
Unsynchronized,2,100000,500,641.445,mismatch
Unsynchronized,2,100000,500,691.726,mismatch
Unsynchronized,2,100000,500,707.222,mismatch
Unsynchronized,2,10000000,500,62.3648,mismatch
Unsynchronized,2,10000000,500,61.9356,mismatch
Unsynchronized,2,10000000,500,61.3283,mismatch
Unsynchronized,2,10000000,500,139.203,mismatch
Unsynchronized,2,10000000,500,140.770,mismatch
Unsynchronized,2,10000000,500,139.359,mismatch
Unsynchronized,2,10000000,500,61.9913,mismatch
Unsynchronized,2,10000000,500,60.9141,mismatch
Unsynchronized,2,10000000,500,145.584,mismatch
Unsynchronized,2,10000000,500,146.888,mismatch
Unsynchronized,4,1000,500,10958.1
Unsynchronized,4,1000,500,10592.6
Unsynchronized,4,1000,500,13687.8,mismatch
Unsynchronized,4,1000,500,11754.9
Unsynchronized,4,1000,500,12650.0,mismatch
Unsynchronized,4,1000,500,13746.7,mismatch
Unsynchronized,4,1000,500,11190.2
Unsynchronized,4,1000,500,11741.2,mismatch
Unsynchronized,4,1000,500,11114.1,mismatch
Unsynchronized,4,1000,500,10682.2,mismatch
Unsynchronized,4,100000,500,874.847,mismatch
Unsynchronized,4,100000,500,886.111,mismatch
Unsynchronized,4,100000,500,937.155,mismatch
Unsynchronized,4,100000,500,954.851,mismatch
Unsynchronized,4,100000,500,903.689,mismatch
Unsynchronized,4,100000,500,858.978,mismatch
Unsynchronized,4,100000,500,935.788,mismatch
Unsynchronized,4,100000,500,880.196,mismatch
Unsynchronized,4,100000,500,530.630,mismatch
Unsynchronized,4,100000,500,877.534,mismatch
Unsynchronized,4,10000000,500,233.603,mismatch
Unsynchronized,4,10000000,500,249.415,mismatch
Unsynchronized,4,10000000,500,250.819,mismatch
Unsynchronized,4,10000000,500,276.009,mismatch
Unsynchronized,4,10000000,500,239.959,mismatch
Unsynchronized,4,10000000,500,243.371,mismatch
Unsynchronized,4,10000000,500,279.413,mismatch
Unsynchronized,4,10000000,500,154.529,mismatch
Unsynchronized,4,10000000,500,277.692,mismatch
Unsynchronized,4,10000000,500,287.785,mismatch
Unsynchronized,8,1000,500,23527.9,mismatch
Unsynchronized,8,1000,500,31724.9
Unsynchronized,8,1000,500,31065.1,mismatch
Unsynchronized,8,1000,500,23800.2,mismatch
Unsynchronized,8,1000,500,27183.1
Unsynchronized,8,1000,500,26950.6,mismatch
Unsynchronized,8,1000,500,24098.9,mismatch
Unsynchronized,8,1000,500,23020.6,mismatch
Unsynchronized,8,1000,500,23999.2,mismatch
Unsynchronized,8,1000,500,28604.0,mismatch
Unsynchronized,8,100000,500,1583.10,mismatch
Unsynchronized,8,100000,500,1617.08,mismatch
Unsynchronized,8,100000,500,1499.16,mismatch
Unsynchronized,8,100000,500,1320.96,mismatch
Unsynchronized,8,100000,500,1636.01,mismatch
Unsynchronized,8,100000,500,1517.28,mismatch
Unsynchronized,8,100000,500,1653.89,mismatch
Unsynchronized,8,100000,500,1676.62,mismatch
